title,year,activity,agent,label,work_uuid,agent_uuid
The A.P.G.&#039;s Dimboola,1973,hasActor,Fay Mokotow,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,7d82b078-bbeb-4b2f-969b-f532b5363c16
The A.P.G.&#039;s Dimboola,1973,hasActor,Wilfred Last,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,473919f5-a752-4f2f-b312-aaa726f014dc
The A.P.G.&#039;s Dimboola,1973,hasActor,Rosslyn de Winter,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,94f54970-c0c8-4774-a054-28130ef44cd7
The A.P.G.&#039;s Dimboola,1973,hasActor,Tim Robertson,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,5360b7c4-e408-4955-a895-cc7a818857aa
The A.P.G.&#039;s Dimboola,1973,hasActor,Jan Friedl,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,31b5f59d-40df-4768-837e-3b047c499645
The A.P.G.&#039;s Dimboola,1973,hasActor,Charles Kemp,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,fd075850-fab5-4582-81e7-367d5eefc173
The A.P.G.&#039;s Dimboola,1973,hasActor,Robert Meldrum,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,a7d99c4b-c7c4-4c8c-817d-27573e38b161
The A.P.G.&#039;s Dimboola,1973,hasActor,Evelyn Krape,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,e0d273fb-bde2-4fb1-9d4e-f117ba03e462
The A.P.G.&#039;s Dimboola,1973,hasActor,Peter Cummins,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,46a6bbc0-7841-46ea-9c3b-6e6cf00422f6
The A.P.G.&#039;s Dimboola,1973,hasActor,Jude Kuring,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,942b1986-2ac0-464f-8c8e-a46335720b8c
The A.P.G.&#039;s Dimboola,1973,hasActor,Eileen Chapman,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,e2f4fbe0-b437-4216-9bc5-cf7269d7b444
The A.P.G.&#039;s Dimboola,1973,hasActor,Bill Garner,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,72194ba8-9e38-42f2-bad4-47289638d052
The A.P.G.&#039;s Dimboola,1973,hasActor,Kerry Dwyer,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,ffbadea3-f941-407d-ab86-c808c5e4eb99
The A.P.G.&#039;s Dimboola,1973,hasActor,Jack Charles,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,431f4f59-5bd0-40d5-bbe8-890ed39d8981
